parID,condition, tlx_Score, scale_mental, scale_physical, scale_temporal, scale_perform, scale_effort, scale_frustration, workload_mental, workload_physical, workload_temporal, workload_perform, workload_effort, workload_frustration, workloadWeighted_mental, workloadWeighted_physical, workloadWeighted_temporal, workloadWeighted_perform, workloadWeighted_effort, workloadWeighted_frustration
1,1,37.87,60,3,9,26,48,35,0.2,0,0.07,0.33,0.2,0.2,12,0,0.6,8.67,9.6,7
6,1,49.2,59,1,41,41,53,56,0.27,0,0.13,0.33,0.2,0.07,15.73,0,5.47,13.67,10.6,4.67
13,1,25.94,16,7,49,25,29,4,0.33,0,0.2,0.27,0.13,0.07,5.33,0,9.8,6.67,3.87,2
16,1,52.2,72,26,49,28,60,51,0.33,0,0.13,0.27,0.07,0.2,24,0,6.53,7.47,4,1.47
24,1,44.61,61,11,32,33,58,22,0.27,0,0.13,0.33,0.2,0.07,16.27,0,4.27,11,11.6,0
30,1,28.07,15,5,10,51,10,24,0.13,0,0.07,0.33,0.2,0.27,2,0,0.67,17,2,3.07
31,1,65.14,76,59,73,41,60,46,0.27,0,0.33,0.13,0.2,0.07,20.27,0,24.33,5.47,12,0
38,1,55.87,63,0,21,74,50,51,0.33,NaN,0.07,0.13,0.2,0.27,21,0,1.4,9.87,10,4.2
2,2,31.53,48,4,3,36,27,2,0.33,0,0.13,0.27,0.2,0.07,16,0,0.4,9.6,5.4,17.2
4,2,59.27,72,12,57,39,67,22,0.33,0,0.27,0.13,0.2,0.07,24,0,15.2,5.2,13.4,3.73
14,2,36,35,0,0,90,20,15,0.27,NaN,NaN,0.2,0.33,0.13,9.33,0,0,18,6.67,3.33
17,2,46.67,66,13,24,32,53,22,0.33,0,0.2,0.13,0.27,0.07,22,0,4.8,4.27,14.13,11.8
22,2,53.47,66,3,58,39,60,9,0.27,0,0.27,0.2,0.2,0.07,17.6,0,15.47,7.8,12,3.67
26,2,48.6,60,2,33,65,41,4,0.33,0,0.13,0.2,0.27,0.07,20,0,4.4,13,10.93,5
37,2,64.14,77,17,67,47,67,14,0.33,0,0.2,0.13,0.27,0.07,25.67,0,13.4,6.27,17.87,13.6
41,2,65,67,2,76,40,64,55,0.27,0,0.33,0.13,0.2,0.07,17.87,0,25.33,5.33,12.8,1.47
5,4,53.79,44,11,81,38,56,19,0.07,0,0.33,0.27,0.2,0.13,2.93,0,27,10.13,11.2,2.53
7,4,73.81,85,21,74,50,75,70,0.27,0,0.2,0.13,0.33,0.07,22.67,0,14.8,6.67,25,1.93
11,4,76.93,85,6,79,45,80,67,0.27,0,0.33,0.07,0.2,0.13,22.67,0,26.33,3,16,1.93
20,4,48.07,66,1,38,28,73,15,0.2,0,0.13,0.33,0.27,0.07,13.2,0,5.07,9.33,19.47,3.13
25,4,59.94,59,83,51,32,63,52,0.33,0.2,0.13,0.13,0.2,0,19.67,16.6,6.8,4.27,12.6,0.27
27,4,72.4,68,18,86,63,61,75,0.27,0,0.33,0.13,0.2,0.07,18.13,0,28.67,8.4,12.2,0.07
33,4,62.08,77,50,65,35,64,55,0.33,0,0.13,0.2,0.27,0.07,25.67,0,8.67,7,17.07,5.87
40,4,75.93,86,75,80,46,74,76,0.33,0.07,0.27,0.13,0.2,0,28.67,5,21.33,6.13,14.8,3.67
